"","X","gene_id","GOs","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term.x","ontology","bh_adjust","A","B","C","D","E","F","G","H","L","M","N","term.y","GOSlim_bin","aspect","log_over_represented_pvalue"
"97",2386,"Pocillopora_acuta_HIv2___RNAseq.3335_t","GO:0019903",0.0397101385873189,0.984746451224239,8,105,"protein phosphatase binding","MF",1,2892,577,2002,938,263,427,1875,117,13222,317,4773,"protein phosphatase binding","other molecular function","F",1.40109859725738
"98",951,"Pocillopora_acuta_HIv2___RNAseq.g19477.t1","GO:0004722",0.02447009618931,0.994049367054863,5,49,"protein serine/threonine phosphatase activity","MF",1,2457,726,394,506,660,320,924,457,5990,429,2265,"protein serine/threonine phosphatase activity","other molecular function","F",1.61136432348007
"99",2387,"Pocillopora_acuta_HIv2___RNAseq.3335_t","GO:0031996",0.00881967970680042,0.998767115044862,4,26,"thioesterase binding","MF",1,2892,577,2002,938,263,427,1875,117,13222,317,4773,"thioesterase binding","other molecular function","F",2.05454718630751
"100",957,"Pocillopora_acuta_HIv2___RNAseq.g19477.t1","GO:0070262",0.00969952448305153,0.999683869760478,2,5,"peptidyl-serine dephosphorylation","BP",1,2457,726,394,506,660,320,924,457,5990,429,2265,"peptidyl-serine dephosphorylation","protein metabolism","P",2.01324955639859
"101",2389,"Pocillopora_acuta_HIv2___RNAseq.3335_t","GO:0033209",0.0143330412166748,0.99766492901439,4,29,"tumor necrosis factor-mediated signaling pathway","BP",1,2892,577,2002,938,263,427,1875,117,13222,317,4773,"tumor necrosis factor-mediated signaling pathway","signal transduction","P",1.84366165025256
"102",2382,"Pocillopora_acuta_HIv2___RNAseq.3335_t","GO:0002756",0.0098777638397876,0.999103157569082,3,14,"MyD88-independent toll-like receptor signaling pathway","BP",1,2892,577,2002,938,263,427,1875,117,13222,317,4773,"MyD88-independent toll-like receptor signaling pathway","signal transduction","P",2.00534136127866
"103",2388,"Pocillopora_acuta_HIv2___RNAseq.3335_t","GO:0032813",0.0415546105373037,0.990429955159059,4,38,"tumor necrosis factor receptor superfamily binding","MF",1,2892,577,2002,938,263,427,1875,117,13222,317,4773,"tumor necrosis factor receptor superfamily binding","signal transduction activity","F",1.3813807836771
"104",1860,"Pocillopora_acuta_HIv2___RNAseq.g22884.t1","GO:0035259",0.029046449687623,0.997984509197219,2,8,"nuclear glucocorticoid receptor binding","MF",1,2745,274,88,176,159,263,385,117,6231,179,2542,"glucocorticoid receptor binding","signal transduction activity","F",1.53690694331846
"105",2383,"Pocillopora_acuta_HIv2___RNAseq.3335_t","GO:0005164",0.0134976708242966,0.99784673786506,4,28,"tumor necrosis factor receptor binding","MF",1,2892,577,2002,938,263,427,1875,117,13222,317,4773,"tumor necrosis factor receptor binding","signal transduction activity","F",1.86974116746258
"106",2382,"Pocillopora_acuta_HIv2___RNAseq.3335_t","GO:0002756",0.0098777638397876,0.999103157569082,3,14,"MyD88-independent toll-like receptor signaling pathway","BP",1,2892,577,2002,938,263,427,1875,117,13222,317,4773,"MyD88-independent toll-like receptor signaling pathway","stress response","P",2.00534136127866
"107",1262,"Pocillopora_acuta_HIv2___TS.g23786.t1","GO:0003700",1.27484321092806e-05,0.999994753849523,37,509,"DNA-binding transcription factor activity","MF",0.142892995915142,936,552,111,128,133,421,214,164,2395,240,2400,"transcription factor activity","transcription regulatory activity","F",4.89454322449736
"108",1839,"Pocillopora_acuta_HIv2___RNAseq.g22884.t1","GO:0003700",1.27484321092806e-05,0.999994753849523,37,509,"DNA-binding transcription factor activity","MF",0.142892995915142,2745,274,88,176,159,263,385,117,6231,179,2542,"transcription factor activity","transcription regulatory activity","F",4.89454322449736
