gene_id,A_R1_001.bam.gtf,B_R1_001.bam.gtf,C_R1_001.bam.gtf,D_R1_001.bam.gtf,E_R1_001.bam.gtf,F_R1_001.bam.gtf,G_R1_001.bam.gtf,H_R1_001.bam.gtf,L_R1_001.bam.gtf,M_R1_001.bam.gtf,N_R1_001.bam.gtf
STRG.19424,77,75,66,64,135,71,105,194,157,59,23
Pocillopora_acuta_HIv2___RNAseq.g2568.t1,0,0,0,0,0,0,0,0,0,0,0
STRG.19426,19,30,12,9,48,68,36,43,62,47,46
STRG.19427,261,346,112,913,913,687,150,558,800,168,146
STRG.19428,57,52,7,71,137,93,66,43,59,32,9
STRG.19429,1936,2939,1437,1295,2571,1971,2200,2209,1980,1716,631
Pocillopora_acuta_HIv2___RNAseq.g27299.t1,0,0,5,21,0,15,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g23067.t1,0,0,0,0,0,0,0,0,0,0,0
STRG.5631,377,276,311,357,369,268,223,356,438,404,244
STRG.15888,6,2,8,0,5,15,13,3,38,14,22
STRG.21639,648,1035,350,249,629,739,622,629,845,612,161
STRG.15886,313,275,312,319,283,296,196,297,299,255,188
STRG.21637,2773,3306,3143,2827,2085,2667,1943,1613,6366,2154,2323
STRG.21634,39,43,68,88,48,25,79,23,72,34,9
STRG.21635,104,145,209,240,136,168,160,99,167,164,85
STRG.21632,433,514,1200,901,655,499,679,386,601,547,198
STRG.21633,161,287,142,117,64,188,88,71,163,52,113
STRG.21630,206,318,203,216,293,214,337,202,216,274,78
STRG.15881,25,6,28,32,7,14,13,16,12,12,3
Pocillopora_acuta_HIv2___RNAseq.g28790.t1,0,0,0,2,0,0,0,0,0,0,0
STRG.17039,2086,2722,2319,2271,3144,2323,2397,1877,2461,1583,1239
Pocillopora_acuta_HIv2___RNAseq.g26079.t1,0,0,0,0,0,2,0,0,0,0,0
STRG.17035,21,16,28,22,10,18,30,16,8,24,16
STRG.17034,36,21,35,22,19,18,34,22,28,29,0
STRG.17037,148,124,87,82,126,93,159,103,110,139,37
STRG.17036,14,18,9,17,28,23,81,14,44,27,0
STRG.17031,70,82,57,56,81,57,82,82,76,79,30
STRG.17030,59,68,174,104,41,73,43,53,74,50,203
Pocillopora_acuta_HIv2___RNAseq.g14267.t1,0,0,0,0,0,0,0,0,0,0,0
STRG.17032,6,0,13,0,0,0,6,0,0,5,6
STRG.21180,48,48,20,13,27,7,28,42,55,37,15
STRG.21181,31,22,10,16,16,0,31,22,11,17,4
STRG.21182,6,19,32,11,17,5,36,18,13,19,11
STRG.21183,175,277,205,176,268,192,203,223,222,225,111
STRG.21184,76,118,290,193,129,124,170,73,159,66,59
STRG.21185,338,161,84,97,201,65,158,66,365,84,241
STRG.21186,177,152,126,215,108,125,90,112,194,64,69
STRG.21187,1052,999,467,727,536,550,618,461,1340,628,576
STRG.21188,383,247,216,233,234,279,272,254,356,276,74
STRG.21189,535,497,730,680,607,434,602,380,531,530,128
STRG.9235,24,42,37,26,14,37,6,35,29,22,0
Pocillopora_acuta_HIv2___RNAseq.g28225.t1,0,0,0,0,0,0,3,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g24405.t1,0,0,23,2,0,0,0,0,0,3,0
Pocillopora_acuta_HIv2___RNAseq.g18828.t1,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g3133.t1,0,0,0,0,0,0,0,0,0,0,0
STRG.149,1182,906,554,590,1184,721,1112,1064,1369,1195,269
STRG.148,5,0,0,0,0,0,0,0,0,0,0
STRG.147,248,166,163,159,271,146,241,176,212,214,91
STRG.146,22,46,14,21,34,30,0,33,23,51,0
STRG.145,19,39,0,18,0,26,27,13,14,27,10
STRG.144,36,528,31,13,17,386,38,175,69,87,30
STRG.143,43,1580,87,12,61,917,113,477,93,403,52
STRG.142,67,2195,102,38,96,1906,290,847,100,525,68
STRG.141,528,10672,694,460,490,7835,888,4071,633,4622,584
STRG.140,316,2701,340,262,241,1906,571,1054,459,533,272
STRG.9749,1565,1855,1295,1323,1636,2045,1669,1757,2185,1643,656
STRG.9748,791,1475,1217,956,1142,1213,892,1164,969,860,662
STRG.9743,209,223,717,795,284,378,286,164,339,318,183
STRG.9742,114,92,186,376,162,203,79,167,128,187,71
STRG.9741,9187,11977,7348,8427,13083,8275,11589,10105,8644,9020,4668
STRG.9740,481,760,2210,1825,855,947,749,461,719,752,338
STRG.9747,890,543,369,466,672,540,504,865,656,633,1289
STRG.9746,609,717,551,591,711,478,613,721,498,481,196
STRG.9745,7,35,10,16,16,6,16,6,16,5,68
STRG.9744,7819,4359,4755,6721,6699,5652,8834,5399,7155,8062,5872
Pocillopora_acuta_HIv2___RNAseq.g3875.t1,0,0,0,0,3,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g12881.t1,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g9491.t1,0,4,0,0,0,0,0,0,0,0,0
STRG.20589,163,106,38,15,107,105,76,94,210,88,15
STRG.20588,26,23,22,17,33,25,24,36,38,30,18
STRG.20587,265,182,183,146,144,184,138,148,295,208,162
STRG.20586,167,64,77,65,105,100,82,94,141,97,31
STRG.20585,164,198,63,56,183,173,189,135,296,178,33
STRG.20584,26,40,26,31,57,36,71,40,47,20,21
STRG.20583,16,17,6,6,7,6,7,11,55,15,6
STRG.20582,3,8,4,3,6,2,4,2,3,0,3
STRG.20581,71,81,105,102,69,61,93,58,50,64,28
STRG.20580,59,54,20,23,17,21,52,46,73,20,45
Pocillopora_acuta_HIv2___RNAseq.g20092.t1,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g5095.t1,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g30857.t1,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g22442.t1,0,0,0,2,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g17041.t1,0,0,0,0,0,0,0,0,0,0,0
STRG.16406,111,127,133,92,144,61,99,93,151,115,74
Pocillopora_acuta_HIv2___RNAseq.g19406.t1,0,0,0,0,0,0,0,0,0,0,0
STRG.4181,1834,2504,3681,3282,2607,1887,2395,2000,1918,1993,913
Pocillopora_acuta_HIv2___RNAseq.g31365.t1,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g17978.t1,0,0,0,0,0,0,0,0,0,0,0
STRG.2658,3,2,9,6,3,4,3,3,5,3,3
STRG.2659,26,19,27,18,30,15,31,20,28,20,19
Pocillopora_acuta_HIv2___RNAseq.g20090.t1,0,0,0,0,0,3,0,0,0,0,0
STRG.2654,323,394,135,235,486,461,254,569,326,322,142
Pocillopora_acuta_HIv2___RNAseq.g11204.t1,0,2,1,0,0,1,0,0,1,0,0
Pocillopora_acuta_HIv2___RNAseq.g11249.t1,0,0,5,22,0,9,6,0,0,0,0
STRG.2657,3,0,0,0,0,0,4,0,0,0,0
STRG.2650,826,558,689,961,467,765,867,374,810,879,275
STRG.2651,18,37,0,0,25,10,25,15,38,22,10
STRG.2652,406,421,453,480,554,400,385,432,382,437,142
STRG.2653,32,33,0,0,14,17,33,24,16,33,0
STRG.7024,252,1199,41,39,1044,142,420,1033,332,1012,44
STRG.7025,78,312,11,0,412,29,93,314,74,318,43
STRG.7026,125,184,0,0,194,56,181,198,88,139,48
STRG.8031,31,45,30,37,53,40,58,39,42,51,18
STRG.7020,431,504,431,433,575,460,437,446,408,429,168
STRG.7021,188,65,135,158,117,142,150,133,170,130,78
STRG.7022,191,45,249,281,182,135,116,189,173,107,81
STRG.8035,74,57,28,35,43,34,129,33,37,81,15
STRG.8038,7,8,5,0,0,29,3,4,6,4,2
STRG.8039,1597,1179,1726,1825,1230,1430,1342,1152,1150,1363,645
STRG.7028,482,463,255,244,506,305,402,637,1077,385,276
STRG.7029,48,120,4,0,111,32,60,67,41,44,72
Pocillopora_acuta_HIv2___RNAseq.g23961.t1,0,0,1,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g30707.t1,0,7,0,0,0,0,27,0,0,6,0
STRG.6376,40,17,21,19,54,28,33,27,47,28,15
STRG.6375,232,153,43,45,76,262,79,149,296,91,222
STRG.6374,46,34,93,59,20,81,51,29,69,35,96
STRG.6373,91,64,110,58,81,63,98,50,92,97,39
STRG.6372,78,31,49,59,62,48,44,23,65,53,47
STRG.6371,19,6,8,1,15,22,19,13,27,24,4
STRG.6370,31,19,36,45,0,27,26,25,30,21,0
Pocillopora_acuta_HIv2___RNAseq.g12268.t1,0,11,0,4,3,0,0,0,0,0,0
STRG.6379,634,590,694,571,602,532,469,421,546,515,307
STRG.6378,16,23,26,20,16,18,23,11,18,0,10
STRG.15305,18,91,12,30,112,26,80,22,27,39,20
STRG.15304,26121,25887,20912,23997,25602,23516,24896,25587,24486,23130,22557
STRG.15307,951,1387,964,731,1190,959,1102,1142,947,919,301
STRG.15306,379,300,347,278,302,239,540,509,639,555,33
STRG.15301,4,5,23,18,4,9,9,0,3,7,8
STRG.15300,3,0,0,0,5,4,4,0,0,4,3
Pocillopora_acuta_HIv2___RNAseq.g9472.t1,0,0,0,0,0,0,0,0,0,0,0
STRG.15302,11057,8677,3040,4688,8905,7349,7621,9087,8611,9479,4774
STRG.15309,204,480,662,405,201,499,559,227,256,184,143
STRG.15308,518,722,550,580,611,611,609,586,701,574,532
Pocillopora_acuta_HIv2___RNAseq.g2225.t1,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g1630.t1,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g25660.t1,0,0,4,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g22934.t1,0,0,0,0,0,0,0,0,0,0,0
STRG.7680,781,861,803,957,1051,1010,1722,1014,1024,1091,401
Pocillopora_acuta_HIv2___TS.g29657.t1,0,8,24,26,9,13,18,0,19,7,0
STRG.7682,5053,7012,4283,4395,6445,4615,9654,5531,4718,5157,1409
STRG.7683,14,7,4,7,4,3,4,9,5,4,9
Pocillopora_acuta_HIv2___RNAseq.4818_t,0,0,0,0,0,0,0,0,0,0,0
STRG.7685,59,62,56,41,76,43,88,41,84,61,7
STRG.7686,62,35,35,35,54,70,108,115,63,47,50
STRG.7687,34,26,26,29,33,11,24,14,30,24,17
STRG.7688,7,0,2,2,7,1,8,3,14,2,0
STRG.7689,8,6,5,10,2,6,3,7,5,8,3
STRG.24460,49,42,40,45,28,46,42,34,44,57,13
STRG.24461,18,14,37,37,10,28,16,16,21,18,7
STRG.24462,9,17,39,33,17,15,20,12,18,33,22
STRG.24463,4,6,25,36,4,16,13,6,9,12,10
STRG.24464,8,2,5,0,2,0,0,8,16,0,10
Pocillopora_acuta_HIv2___RNAseq.g11554.t1,0,43,0,0,6,13,11,24,1,10,0
STRG.24466,22,52,31,30,23,42,21,37,43,22,36
Pocillopora_acuta_HIv2___RNAseq.g5516.t1,0,0,0,0,0,0,0,0,0,0,0
STRG.24468,2023,2273,1975,2133,2213,2339,2104,2108,2308,2249,1401
STRG.24469,11,15,0,8,0,8,11,20,17,48,0
STRG.23111,1,1,0,0,2,0,2,0,0,0,0
STRG.23110,5,8,5,6,10,6,2,7,5,6,0
STRG.23113,55,101,93,107,57,106,78,73,69,82,44
STRG.23112,226,169,233,237,205,209,252,290,285,206,107
Pocillopora_acuta_HIv2___TS.g14896.t1,0,0,0,0,0,0,0,2,0,0,0
STRG.23114,1,0,0,0,0,0,2,0,0,0,0
STRG.23117,7,3,8,7,6,4,4,3,14,7,15
STRG.23116,12,14,3,5,10,11,0,0,12,5,5
Pocillopora_acuta_HIv2___RNAseq.g21693.t1,0,0,12,20,15,0,7,0,12,0,0
STRG.23118,9,8,8,5,6,5,13,5,4,3,4
STRG.1686,608,476,791,852,680,567,719,559,703,707,272
STRG.1687,1,0,0,7,0,0,3,5,0,2,0
STRG.1684,3576,3433,3168,3496,3800,3664,3524,3666,3844,3717,3844
STRG.1685,9,14,11,16,16,23,13,7,13,11,4
STRG.969,67,24,59,57,99,48,78,64,54,52,18
STRG.968,7,2,21,16,9,4,4,4,11,6,14
STRG.1680,12,20,26,31,25,23,20,7,3,23,9
STRG.1681,242,104,16,37,228,65,214,110,277,196,75
STRG.965,778,763,476,459,671,740,612,834,748,610,309
STRG.964,230,346,219,248,315,290,627,219,214,386,41
STRG.967,18,5,10,5,7,7,0,7,11,6,18
STRG.966,376,528,325,302,441,455,486,501,378,430,118
STRG.961,79,44,186,182,88,134,159,40,123,93,11
STRG.960,1065,1120,1749,1483,1418,999,1087,1031,1245,1147,814
STRG.963,369,223,398,262,362,228,247,281,188,292,119
STRG.1689,29,105,307,287,56,152,209,50,68,122,43
STRG.7976,23,31,3,22,13,7,22,12,50,10,8
STRG.7977,86,134,206,132,138,92,99,134,134,53,11
STRG.16148,1236,1166,2625,2110,1409,1871,1773,1190,1737,1830,411
STRG.16149,61,119,14,19,82,84,152,103,49,67,16
STRG.7972,52,72,39,48,57,63,97,34,96,62,88
STRG.7973,1036,1019,581,722,791,1254,1028,935,1467,1123,225
STRG.7970,151,95,27,27,180,53,268,103,30,191,43
STRG.7971,3547,5610,2883,3040,4608,5086,3936,4629,4811,3834,958
STRG.16142,146,275,257,226,210,237,287,169,349,180,216
STRG.16143,363,432,353,226,430,419,426,508,315,361,57
STRG.16140,4,0,0,0,0,2,2,0,0,3,0
STRG.16141,375,584,244,335,469,403,468,505,302,429,45
STRG.16146,23,20,25,30,33,16,19,19,22,20,12
STRG.16147,519,479,476,475,605,490,525,518,497,485,222
STRG.7978,793,752,479,575,1128,496,984,895,642,708,126
STRG.7979,431,622,399,343,601,531,533,468,465,458,233
STRG.3266,3553,5048,5117,6533,5230,4614,3923,5153,4070,4273,8071
STRG.3267,1993,1963,4711,3338,2158,1881,2903,2022,2512,2275,863
STRG.12658,124,457,31,65,304,52,781,155,136,195,102
STRG.3265,40,27,19,12,34,14,12,9,37,23,33
STRG.6089,205,259,274,260,304,263,304,205,215,253,75
STRG.6088,580,803,539,715,867,635,635,719,680,728,311
STRG.3260,438,684,1183,1226,788,811,659,856,635,615,257
Pocillopora_acuta_HIv2___RNAseq.30356_t,0,1,0,0,0,5,3,6,15,0,0
STRG.12652,47,65,45,29,92,41,40,49,63,40,13
STRG.6084,85,389,98,133,42,372,66,262,116,240,216
STRG.12650,2,2,2,2,0,1,0,0,2,0,0
STRG.6086,5,8,471,228,29,102,117,16,22,99,2
STRG.6081,585,719,426,387,555,612,709,546,472,577,221
STRG.6080,334,395,425,449,481,353,317,384,501,339,545
STRG.6083,89,171,138,85,80,104,84,114,88,86,23
STRG.3269,194,127,110,82,267,135,174,219,163,179,77
STRG.18438,12,18,40,48,11,11,16,7,0,15,0
STRG.18439,763,870,664,794,883,626,813,673,774,703,330
STRG.1538,5,18,6,8,15,15,4,3,11,16,4
STRG.1539,1645,2095,2144,1959,1988,1729,1961,1905,1626,1652,1295
STRG.18430,566,717,861,769,695,679,671,703,643,741,159
STRG.18431,1446,1687,1350,1608,1633,1649,1332,1625,1556,1337,944
STRG.18432,449,685,510,516,559,456,612,504,616,560,78
STRG.18433,180,204,157,250,168,240,269,133,189,252,41
STRG.18434,28,14,13,7,25,8,13,15,26,21,9
Pocillopora_acuta_HIv2___RNAseq.g23010.t1,0,5,41,18,9,0,0,0,0,7,0
STRG.1532,3,3,0,0,0,0,0,3,2,0,0
STRG.18437,504,519,1955,1232,743,713,650,502,670,731,313
Pocillopora_acuta_HIv2___RNAseq.g11052.t1,0,3,0,0,6,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g16113.t1,0,0,0,4,0,0,0,0,3,12,0
Pocillopora_acuta_HIv2___TS.g16511.t1,0,0,0,0,32,0,0,3,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g521.t1,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27430.t1,0,0,0,0,0,0,2,0,0,0,1
Pocillopora_acuta_HIv2___RNAseq.g14537.t1,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g16809.t1,0,2,0,0,0,0,0,0,1,0,0
Pocillopora_acuta_HIv2___RNAseq.g30052.t1,0,0,0,2,1,0,0,0,1,0,0
Pocillopora_acuta_HIv2___TS.g22598.t1,0,1,0,2,0,0,3,3,6,0,0
Pocillopora_acuta_HIv2___TS.g27207.t1,0,0,0,2,3,0,0,0,0,0,0
STRG.13019,230,250,273,164,285,257,267,183,301,231,25
STRG.13018,235,255,322,286,314,170,348,148,194,318,329
STRG.13013,231,59,28,37,126,40,92,41,276,80,57
STRG.13012,59,14,14,12,33,13,94,15,72,29,0
STRG.13011,19,20,4,8,0,33,45,0,36,40,0
STRG.13010,17,0,0,0,0,0,0,0,8,0,0
STRG.13017,60,33,39,24,78,21,72,25,80,41,9
Pocillopora_acuta_HIv2___RNAseq.g10809.t1,0,0,4,0,0,0,0,0,0,3,0
STRG.13015,231,114,74,31,161,103,544,102,337,101,33
STRG.13014,99,10,5,10,32,14,28,8,97,31,53
STRG.17277,7,0,19,10,2,2,8,0,11,13,8
STRG.3946,75,81,116,147,62,81,100,43,82,49,21
STRG.17275,445,629,548,745,526,383,620,603,413,498,156
STRG.2139,58,30,50,53,45,77,78,38,73,45,17
STRG.2138,265,303,436,376,230,310,309,313,235,295,80
STRG.17274,5,0,4,0,0,0,0,0,5,0,0
STRG.2131,127,63,43,83,81,42,36,94,65,118,49
STRG.2130,5,8,7,0,3,3,3,5,10,2,2
STRG.2133,38,25,31,27,23,18,16,21,29,23,3
STRG.2132,280,240,199,114,126,251,210,102,361,176,193
STRG.2135,107,219,78,85,167,124,121,143,134,165,61
STRG.2134,32,83,21,8,21,34,49,40,46,35,10
STRG.2137,445,619,595,583,528,488,585,585,500,437,284
STRG.2136,3,3,6,2,1,2,1,1,2,2,0
STRG.17271,124,151,221,224,102,130,119,195,124,143,100
STRG.1359,304,164,196,157,283,139,252,131,297,193,101
STRG.3940,528,605,710,747,540,459,667,470,580,574,124
STRG.19749,68,74,103,103,97,63,76,35,98,66,6
STRG.19748,283,250,85,88,276,180,226,243,231,256,72
STRG.19741,1066,1167,376,625,1368,774,985,1161,1232,946,543
STRG.19740,2009,2651,1830,2462,4525,1599,2410,2784,2078,2400,493
STRG.19743,1736,3496,1169,1258,2968,3123,2732,3649,1966,2884,322
STRG.19742,9,12,5,3,0,0,0,0,5,0,6
STRG.19745,1503,1302,753,1018,2037,1002,1419,1991,1531,1598,614
Pocillopora_acuta_HIv2___RNAseq.g16748.t1,0,10,0,0,0,0,0,0,2,0,0
STRG.19747,267,279,790,581,234,329,340,193,188,271,45
STRG.19746,14,17,46,38,23,38,16,12,12,7,6
Pocillopora_acuta_HIv2___RNAseq.g19399.t1,0,0,0,0,0,0,0,0,0,0,0
STRG.3949,149,201,167,116,228,143,109,187,197,182,107
Pocillopora_acuta_HIv2___RNAseq.22520_t,0,0,0,0,0,0,0,0,0,0,0
STRG.17278,7,0,0,7,12,5,9,2,0,0,10
Pocillopora_acuta_HIv2___TS.g1055.t1,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g484.t1,0,0,0,0,0,0,0,0,0,0,0
STRG.619,218,303,311,291,285,290,238,237,203,363,71
Pocillopora_acuta_HIv2___RNAseq.g16569.t1,0,0,0,0,0,0,1,0,0,0,0
STRG.18655,925,4109,64,30,2191,1705,6191,3587,1500,2326,445
Pocillopora_acuta_HIv2___RNAseq.g6902.t1,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g23258.t1,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g6.t2,0,4,0,0,0,0,0,0,0,0,0
STRG.10092,1108,1908,679,844,1505,1280,1829,2015,1248,1721,198
STRG.10093,346,292,832,457,503,383,426,313,407,569,201
STRG.10090,610,834,80,159,1212,395,951,1731,806,774,124
STRG.10091,728,1150,559,607,1123,703,1345,1248,856,1223,164
STRG.10096,233,107,103,49,178,142,179,140,174,105,107
STRG.10097,24,14,19,8,26,26,14,6,31,0,25
STRG.10094,732,997,696,759,984,866,962,876,834,813,138
STRG.10095,2025,1369,42,44,1597,740,1030,1947,1725,960,820
Pocillopora_acuta_HIv2___TS.g5638.t1,0,0,0,0,0,0,0,0,0,0,0
STRG.10098,697,567,422,430,820,445,858,782,785,624,416
STRG.10099,11,0,0,0,15,17,22,17,12,15,18
STRG.428,914,984,71,175,886,464,1524,836,714,1139,190
STRG.429,572,894,997,823,978,671,950,720,402,753,195
STRG.420,31,14,72,81,20,16,29,4,28,38,13
STRG.421,27,47,302,192,76,146,91,27,42,87,11
STRG.422,31,19,40,14,57,14,44,38,47,23,4
STRG.423,5450,5313,50,214,5518,678,2266,3732,2852,2007,1399
STRG.424,1811,1845,35,60,2609,230,1089,1883,1021,808,578
STRG.425,4019,5473,2162,2175,6228,2518,6882,4084,4415,4307,1214
STRG.426,757,910,2487,1649,1091,1114,1213,842,1016,1253,350
STRG.427,1178,1350,1077,1610,1463,1382,1590,1195,1601,1392,480
STRG.9633,2456,2420,2183,2045,1598,1998,2028,1624,4376,1801,1260
Pocillopora_acuta_HIv2___RNAseq.g6900.t1,0,0,0,0,0,0,0,0,0,0,0
STRG.16891,273,296,935,845,320,509,469,300,276,346,102
STRG.5392,4120,4354,3661,3952,4258,3684,3983,4411,3826,3842,1790
Pocillopora_acuta_HIv2___RNAseq.g11241.t1,0,0,0,0,0,0,0,0,0,0,0
STRG.9630,961,871,408,514,630,871,837,778,786,725,288
Pocillopora_acuta_HIv2___RNAseq.g5457.t1,0,1,0,0,0,0,0,0,0,0,0
STRG.5394,541,625,530,408,732,431,478,437,343,409,143
Pocillopora_acuta_HIv2___RNAseq.24607_t,0,11,0,0,0,18,15,14,9,6,0
STRG.9635,100,121,97,80,97,89,87,93,81,90,55
Pocillopora_acuta_HIv2___RNAseq.g5959.t1,0,0,8,0,0,0,6,0,19,0,21
STRG.16897,1156,1689,1195,1215,1666,1299,1525,1407,1340,1285,425
Pocillopora_acuta_HIv2___RNAseq.g17979.t1,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g3248.t1,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g18861.t1,0,0,6,0,1,0,2,0,0,6,0
Pocillopora_acuta_HIv2___RNAseq.g24238.t1b,0,0,0,0,0,0,2,0,0,0,3
STRG.4449,2,7,4,2,4,4,5,4,2,4,0
Pocillopora_acuta_HIv2___RNAseq.g2643.t1,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g4660.t1,0,0,3,0,2,0,1,0,0,0,0
STRG.3637,276,265,331,295,310,221,327,276,360,258,248
Pocillopora_acuta_HIv2___RNAseq.g15133.t1,0,0,0,9,1,0,3,1,1,0,0
Pocillopora_acuta_HIv2___RNAseq.g7118.t1,0,0,0,0,0,0,0,0,0,0,0
STRG.11323,192,274,8,11,324,116,204,361,245,173,24
STRG.11322,10,17,0,5,15,0,9,10,9,11,0
STRG.11321,14,0,6,0,23,0,14,18,38,13,3
STRG.11320,6,0,0,0,0,0,0,3,0,0,0
STRG.11327,30,12,19,14,15,25,27,25,33,0,13
STRG.11326,33,21,13,18,11,18,15,7,40,22,12
STRG.11325,32,47,27,21,25,21,66,29,25,31,3
STRG.3494,39,23,26,25,8,0,18,12,17,28,35
STRG.11329,303,252,274,193,372,170,282,251,320,360,166
STRG.11328,292,543,110,102,493,199,573,312,228,413,98
STRG.3497,51,2,10,11,10,4,11,4,24,18,20
STRG.3496,2,11,19,1,11,6,7,12,11,0,96
Pocillopora_acuta_HIv2___RNAseq.g24214.t1,0,0,0,0,0,0,0,0,0,0,0
STRG.3490,1,2,4,5,2,5,3,3,3,3,0
STRG.3493,12,24,15,14,33,18,27,16,22,15,20
STRG.3492,4,6,4,9,4,4,0,0,0,4,0
STRG.17109,19,28,0,8,0,24,53,38,76,41,19
STRG.12304,1801,2423,2792,2445,2081,2143,2421,2217,2052,1864,745
Pocillopora_acuta_HIv2___RNAseq.g21148.t1,0,0,2,0,0,0,0,2,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g19949.t1,0,0,0,0,0,0,0,0,0,0,0
STRG.24709,366,251,501,388,267,417,485,203,331,467,208
STRG.24708,31,13,13,16,24,16,28,8,52,31,20
Pocillopora_acuta_HIv2___RNAseq.g10043.t1,0,0,0,0,0,0,0,0,0,0,0
STRG.24701,3,2,8,0,2,0,0,0,11,2,0
STRG.24700,5,0,0,3,0,0,5,0,0,0,0
STRG.24703,7654,6453,8498,8159,8464,7415,9810,7943,7998,9406,2938
STRG.24702,216,193,136,164,172,234,121,210,193,169,17
STRG.24705,51,50,18,42,48,34,22,23,48,63,13
STRG.24704,2,3,0,0,3,3,0,0,5,10,5
STRG.24707,26,7,18,25,12,35,45,22,27,35,14
STRG.24706,862,1067,1303,1223,1177,1111,1219,1151,1297,922,271
Pocillopora_acuta_HIv2___TS.g28295.t1,0,0,5,0,0,0,0,0,6,3,0
Pocillopora_acuta_HIv2___TS.g27740.t1,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g31186.t1,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g13993.t1,0,4,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g8883.t1,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g10320.t1,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g22129.t1,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g414.t1,0,0,0,4,0,0,0,0,0,0,0
STRG.11567,42,15,46,61,43,11,32,17,53,35,39
Pocillopora_acuta_HIv2___RNAseq.g9438.t1,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g26262.t1,0,0,0,0,0,0,0,0,0,4,0
Pocillopora_acuta_HIv2___RNAseq.g11298.t1,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g28158.t1,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g6869.t1b,0,0,0,0,0,0,0,0,1,0,0
Pocillopora_acuta_HIv2___RNAseq.g6869.t1a,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g10859.t1,0,0,0,0,13,0,0,0,0,0,0
STRG.9508,299,301,473,518,374,336,246,344,367,402,230
STRG.9505,923,1010,777,700,804,1021,740,900,800,929,417
STRG.9504,2177,907,47,62,1575,735,2098,981,1276,1826,555
STRG.9507,13,5,0,0,18,3,17,12,10,6,22
STRG.9506,188,147,209,171,129,149,130,127,289,117,32
STRG.9501,1414,1354,1536,1668,1590,1331,1591,1510,1417,1289,1708
STRG.9500,352,395,303,246,347,310,433,389,372,343,46
STRG.9503,19,0,6,0,3,0,0,10,15,6,0
STRG.9502,29,8,5,0,3,12,3,0,17,8,5
STRG.4159,295,579,271,173,310,382,207,434,288,376,95
STRG.4158,28,3,0,0,14,0,8,15,13,0,19
STRG.4155,6,8,24,35,15,24,26,4,9,8,32
STRG.4154,1,0,0,0,0,0,0,0,2,0,0
STRG.4157,260,192,209,175,216,145,177,230,277,182,678
STRG.4156,279,511,201,246,270,439,323,410,224,368,76
STRG.4151,2065,2874,2944,3097,2398,2068,2069,2296,1737,1943,1099
STRG.4150,8,7,90,29,12,11,9,6,10,29,3
