"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","A","B","C","D","E","F","G","H","L","M","N"
"Pocillopora_acuta_HIv2___RNAseq.g26080.t1",35.9592959175292,-3.84508100784431,1.17031515075452,-3.2855090403344,0.00101798275617913,0.0393712041710425,0,132,34,42,14,103,16,56,9,24,0
"Pocillopora_acuta_HIv2___RNAseq.26642_t",19.4661045346282,-7.67946933082863,2.21299623807374,-3.47016827173329,0.000520132395909584,0.0265215515487674,0,13,0,12,6,0,198,8,0,9,0
"Pocillopora_acuta_HIv2___RNAseq.g4634.t1",627.518572973828,-0.741669075592325,0.178048563080682,-4.16554373009031,3.10611374474364e-05,0.00406979536352423,491,931,816,739,878,523,786,763,526,692,176
"Pocillopora_acuta_HIv2___RNAseq.g26216.t1",117.068717543259,1.06528707275477,0.321341602721281,3.31512341923171,0.000916026713091174,0.0372933363853927,192,62,96,127,120,159,84,79,173,133,71
"Pocillopora_acuta_HIv2___RNAseq.g20570.t1",4943.77935630673,-0.996865616939413,0.27736406300433,-3.59406913116878,0.000325553397264335,0.0203613487316201,3332,7165,9962,6858,5974,4313,5734,4919,3864,4286,1304
"Pocillopora_acuta_HIv2___RNAseq.g1877.t1",426.870725224847,1.69667537017062,0.43857488551705,3.86861041568842,0.000109457367876454,0.00952095138562329,743,328,130,205,357,111,478,295,1079,287,475
"Pocillopora_acuta_HIv2___TS.g19165.t1",3328.7787607236,-0.582441431135464,0.158747802573222,-3.6689731869946,0.000243526616028591,0.0162004557041694,2840,4245,3663,3177,4963,3331,5276,3583,3265,3421,1024
"Pocillopora_acuta_HIv2___RNAseq.g17875.t1",55.5619561146402,2.03422408122236,0.394375142520383,5.15809406298275,2.49476288811681e-07,0.000113830422293315,136,20,31,47,30,51,34,39,123,79,29
"Pocillopora_acuta_HIv2___RNAseq.g21397.t2",376.792676540314,1.09078293180562,0.18191128409748,5.99623567728271,2.01943883519006e-09,1.99078203648117e-06,613,331,269,299,349,322,279,431,579,373,276
"Pocillopora_acuta_HIv2___RNAseq.g24007.t1",3072.81213090087,-0.786012437594439,0.213983564626093,-3.67323742348105,0.000239496764857577,0.0161910722471403,1616,2564,2894,4573,4297,4362,3217,5608,1866,3843,772
"Pocillopora_acuta_HIv2___RNAseq.g28162.t1",407.813234930045,-1.39578135663427,0.407579229198516,-3.4245644935808,0.000615785667607593,0.0294410967455252,239,335,925,654,458,508,532,317,220,549,62
"Pocillopora_acuta_HIv2___TS.g28036.t1a",517.823221559335,0.865982763201268,0.241920711619734,3.57961398758811,0.000344102127752185,0.0208292463413033,732,380,534,498,493,381,471,436,644,570,445
"Pocillopora_acuta_HIv2___TS.g20906.t1",106.258307566268,-5.90210033183199,1.30672330739603,-4.51671773085107,6.28055355161035e-06,0.00141326108288519,3,30,470,436,29,117,100,12,4,54,0
"Pocillopora_acuta_HIv2___RNAseq.g14566.t1",1613.66793362965,1.29625819238856,0.369565747102334,3.50751714019,0.000452309214737767,0.024684992761373,2140,1289,667,829,1715,1514,1336,1796,2494,1530,1695
"Pocillopora_acuta_HIv2___RNAseq.g29731.t1",363.028716385617,-5.05398283563108,1.27992828924353,-3.94864530935409,7.85947024768177e-05,0.00771122052452645,14,17,2167,1156,221,304,78,16,20,282,9
"Pocillopora_acuta_HIv2___RNAseq.g28359.t1",2531.35149131394,-6.1191437554786,1.43421695689483,-4.26653981886181,1.98528074220788e-05,0.00289431562853434,68,72,14537,6008,1656,2207,2726,59,17,2725,48
"Pocillopora_acuta_HIv2___TS.g27138.t1",171.50082405438,1.30640785633404,0.271486774110751,4.81204972364915,1.49390171945267e-06,0.000479070758111866,341,126,124,157,147,113,175,79,285,133,157
"Pocillopora_acuta_HIv2___RNAseq.g20611.t1",316.609089325666,-1.02393023154975,0.287013618844544,-3.56753186720502,0.000360359565132316,0.0213758272703989,160,431,550,488,407,386,342,295,212,295,100
"Pocillopora_acuta_HIv2___TS.g14230.t1",43.3578296463714,2.02382005598779,0.491240675131975,4.11981368489911,3.79178885042035e-05,0.00478027405784564,68,18,27,19,30,38,33,14,77,24,72
"Pocillopora_acuta_HIv2___RNAseq.g31180.t1",490.776019700541,0.644274589838603,0.183122998255816,3.51826147439208,0.000434384124958864,0.0240444389168406,577,346,457,479,503,541,459,511,626,609,319
"Pocillopora_acuta_HIv2___RNAseq.g18356.t1",597.359777375409,1.08771452957753,0.32326150052357,3.36481309347328,0.000765955263928444,0.0341680788006683,1002,687,292,368,788,239,557,393,1304,411,492
"Pocillopora_acuta_HIv2___TS.g16836.t1",433.406231864215,1.9849497984557,0.547120690766544,3.62799256536009,0.000285633484067268,0.0183639266682006,405,244,135,219,458,315,272,133,796,332,803
"Pocillopora_acuta_HIv2___RNAseq.g26954.t1",29642.5369211964,-2.8918993899748,0.89835070850691,-3.21912073156956,0.00128584334409055,0.0440433834046314,6075,6095,126896,101212,14843,31002,15589,17625,5206,20540,2009
"Pocillopora_acuta_HIv2___RNAseq.g26363.t1",22.7126657112738,-7.45019614740452,1.89764924935496,-3.92601327665635,8.63653905159318e-05,0.00815365354321617,0,8,70,64,96,8,7,0,0,23,0
"Pocillopora_acuta_HIv2___TS.g26913.t2a",1539.24801219515,-0.824222775290628,0.232011381693938,-3.5525100935691,0.000381574379231465,0.0220037682419214,1140,2038,2441,2038,1779,1831,1649,1898,1230,1619,333
"Pocillopora_acuta_HIv2___TS.g24278.t2",1660.97993892353,-0.520045833627947,0.153185234166852,-3.3948822577867,0.000686581204478628,0.0319406833598125,1394,2313,1853,2014,2254,1890,1990,1893,1554,1636,498
"Pocillopora_acuta_HIv2___RNAseq.673_t",1715.56220122538,-1.81523592361745,0.406962676784227,-4.46044816188364,8.17884406397495e-06,0.00167822790138544,1037,2399,3659,2257,3063,965,2441,2089,905,1568,157
"Pocillopora_acuta_HIv2___RNAseq.g13919.t1",1326.61716195365,-4.1313348845684,1.18517692231019,-3.48583811142343,0.000490597804214112,0.0255827600575328,108,58,5331,5167,367,2206,902,75,50,1211,50
"Pocillopora_acuta_HIv2___RNAseq.g28823.t1",43.5888800328199,-1.41753837137772,0.423367212185124,-3.34824788169443,0.000813242370306399,0.03536920913883,24,61,93,64,50,54,50,45,27,41,6
"Pocillopora_acuta_HIv2___TS.g16866.t1",405.031865987122,1.5417284572481,0.461899569628792,3.33780015964752,0.000844444594289025,0.0361191983284533,445,446,304,283,330,420,122,222,1138,230,388
"Pocillopora_acuta_HIv2___RNAseq.g11960.t1",19.6210973502475,-6.91719215341329,2.05945585908019,-3.35874746861664,0.000782965817558469,0.0346345263997765,0,23,57,0,0,26,44,57,0,28,0
"Pocillopora_acuta_HIv2___RNAseq.g30114.t1",225.872110337565,-1.0074716778739,0.251018944979047,-4.01352845283447,5.98177882549784e-05,0.00662218102916878,140,292,347,298,263,355,243,236,116,265,63
"Pocillopora_acuta_HIv2___RNAseq.g27475.t1",33.9716028235217,1.54736491276032,0.364377261867342,4.24660118699631,2.17037784645853e-05,0.00305654164472004,75,34,21,23,23,22,25,20,86,30,20
"Pocillopora_acuta_HIv2___RNAseq.g10523.t1",935.320885414703,1.22950407543236,0.319625686944548,3.84669982937154,0.000119719493233054,0.0101616046495663,827,850,741,770,834,749,692,779,2515,605,795
"Pocillopora_acuta_HIv2___RNAseq.g8579.t1",154.067629603402,2.3324620842143,0.535339676576746,4.35697592812349,1.31871764658398e-05,0.00226557148692536,414,69,140,83,36,158,46,102,460,143,73
"Pocillopora_acuta_HIv2___RNAseq.g16523.t1",508.88166209394,0.948250762308537,0.276353484017701,3.43129657177689,0.000600703482533059,0.029191933087792,646,358,455,501,632,378,344,540,778,433,433
"Pocillopora_acuta_HIv2___RNAseq.g5407.t1",36.3177600346412,1.97387082866749,0.503281650847518,3.92200038555654,8.78168516614361e-05,0.00818911920313085,81,18,35,34,22,33,12,13,66,20,41
"Pocillopora_acuta_HIv2___RNAseq.g774.t1",50.3508616752686,1.24574639259573,0.393925521937991,3.16239066325798,0.00156479485018937,0.0489099913705902,89,54,41,37,48,52,21,33,72,38,49
"Pocillopora_acuta_HIv2___RNAseq.g8035.t1",37.9004682539164,1.84209498965258,0.424313454903079,4.34135417665071,1.41607246366279e-05,0.00233132066468826,46,32,17,23,30,20,23,29,120,21,40
"Pocillopora_acuta_HIv2___TS.g23740.t1",52.8259122771051,1.99020114318832,0.622230866737644,3.19849311497988,0.00138147831795159,0.0454679875011668,110,78,16,34,12,28,26,31,78,35,77
"Pocillopora_acuta_HIv2___RNAseq.g30783.t1",44.2281089208112,-8.25139183956907,2.0176828853691,-4.08953849953464,4.3223232387245e-05,0.00525075217169685,0,3,250,140,12,27,41,0,0,52,0
"Pocillopora_acuta_HIv2___TS.g16179.t1",224.731441415869,0.978609640186592,0.299069126181836,3.27218543980227,0.00106719553759357,0.0406870755419193,282,171,193,159,289,172,186,125,394,231,211
"Pocillopora_acuta_HIv2___RNAseq.g29891.t1",166.509451314917,-6.04780824224059,1.06152840365805,-5.69726464350809,1.21744874219431e-08,1.00814495443626e-05,4,113,335,553,45,526,240,71,3,70,0
"Pocillopora_acuta_HIv2___RNAseq.g7543.t1",17.2999955379838,-7.16328424686948,1.62207833836299,-4.41611485552462,1.0049070346729e-05,0.00188176434409805,0,13,43,16,33,20,60,0,0,27,0
"Pocillopora_acuta_HIv2___RNAseq.g2787.t1",87.9461047300807,-8.96189876159354,1.77711920153158,-5.04293620476886,4.58442128454811e-07,0.00018981337886543,0,3,405,331,18,120,75,24,0,60,0
"Pocillopora_acuta_HIv2___RNAseq.g22559.t1",5771.59889391479,2.0905814407442,0.531359559484776,3.93440073379181,8.34045294944572e-05,0.00792036958529474,8266,4300,1398,1894,5384,3450,3370,2722,7201,3514,11700
"Pocillopora_acuta_HIv2___TS.g12676.t1",519.0989286879,-5.95721170812563,1.49412891318244,-3.9870801344959,6.68914374278254e-05,0.00707599148077908,13,14,3063,1658,112,412,323,21,19,498,4
"Pocillopora_acuta_HIv2___TS.g5122.t1b",148.107370454261,-2.48874934763556,0.40720151969808,-6.11183708125856,9.84907050072528e-10,1.01947728753007e-06,45,243,196,213,392,82,198,198,41,151,18
"Pocillopora_acuta_HIv2___RNAseq.g3137.t1",230.669716389879,1.16051871764141,0.289983947461889,4.00201020711304,6.28065884922736e-05,0.00682717889128439,388,266,136,125,240,146,177,157,422,233,203
"Pocillopora_acuta_HIv2___TS.g1941.t1",49.182333120453,-3.21068664666671,0.951935221225282,-3.37279950891414,0.000744081115328272,0.0334790564602921,9,94,157,118,15,82,35,26,13,37,0
"Pocillopora_acuta_HIv2___RNAseq.g27573.t2",395.067646855179,-0.938946791825149,0.267997451171116,-3.50356612617794,0.000459072660280582,0.024684992761373,326,583,543,494,671,260,573,407,337,384,85
"Pocillopora_acuta_HIv2___TS.g28528.t1b",41.9037063867096,2.32849104051482,0.660366954936289,3.52605626782077,0.000421797342581182,0.0235596874269266,65,15,16,9,34,8,29,36,65,19,87
"Pocillopora_acuta_HIv2___RNAseq.g9147.t1",1465.53202989234,-0.933298110191623,0.290101428317759,-3.21714414025341,0.00129473533581592,0.0441415241253854,956,1300,1439,1833,2399,1955,1664,2360,1018,2106,221
"Pocillopora_acuta_HIv2___TS.g798.t2",2114.43292248367,2.72694573514281,0.408513026803843,6.67529688460146,2.46732169351208e-11,3.9241293018523e-08,4613,1094,850,791,601,2493,836,1514,4136,1048,2993
"Pocillopora_acuta_HIv2___TS.g27019.t1",66.3256124014414,4.15712051466327,1.1101566737865,3.74462507213891,0.000180663361668048,0.0134053509435553,215,33,17,14,0,42,0,25,227,18,82
"Pocillopora_acuta_HIv2___TS.g25238.t1",1559.42398297247,3.72528750256643,0.602943877009842,6.17849794087158,6.47143327201827e-10,7.44286731096234e-07,2036,348,475,1277,437,220,319,311,6147,315,2868
"Pocillopora_acuta_HIv2___TS.g21597.t2",1452.2411456119,-0.969615562084938,0.209926496908051,-4.61883362208266,3.85903122795806e-06,0.000962526078086599,657,1269,1278,2571,1729,2784,1405,2430,746,1747,271
"Pocillopora_acuta_HIv2___RNAseq.g329.t1",2423.11955010035,1.83234929063652,0.464820151423492,3.94206078420875,8.07844957168258e-05,0.00774259551078578,4862,1824,1049,948,1455,2849,1683,2360,8080,1634,922
"Pocillopora_acuta_HIv2___TS.g13820.t1",259.162560720161,-5.45504212171883,1.69134035315063,-3.22527758032685,0.00125850582384627,0.0434951378385065,10,12,1335,863,49,337,185,3,16,249,0
"Pocillopora_acuta_HIv2___RNAseq.g20012.t1",88.3523208700769,0.828572146439195,0.245493590122036,3.37512741586169,0.000737815222389946,0.0334228681267323,120,79,70,67,92,71,80,88,124,104,69
"Pocillopora_acuta_HIv2___RNAseq.g8318.t1b",246.694466341214,0.802585317523722,0.230071074574996,3.48842338832171,0.00048587803822189,0.0255005988043862,358,248,247,201,255,240,184,241,331,177,198
"Pocillopora_acuta_HIv2___RNAseq.g8455.t1",66.0268304518638,1.4594811152507,0.439719133852803,3.31912123646469,0.000903012151677132,0.037239357697251,116,36,27,72,33,113,71,53,124,58,34
"Pocillopora_acuta_HIv2___RNAseq.g28814.t1",718.874535465038,-3.71571243258078,1.13745057039158,-3.26670233353666,0.00108808022388361,0.04124119841269,68,47,3215,2576,279,835,477,53,47,779,46
"Pocillopora_acuta_HIv2___RNAseq.g24095.t1",84.3552880629243,1.41916676318753,0.394036954030241,3.60160829757763,0.000316254627325544,0.0198397069542225,174,79,53,51,57,104,45,105,175,72,37
"Pocillopora_acuta_HIv2___RNAseq.g8090.t1",656.164000578329,-0.742387381810023,0.208223327261238,-3.56534203719941,0.000363381973295795,0.021488832032062,430,976,743,618,897,747,842,934,608,689,177
"Pocillopora_acuta_HIv2___RNAseq.g16288.t1",1247.72234708235,-0.883844318247304,0.260680138451431,-3.39053187365089,0.000697571424034647,0.0322346509383153,842,1367,2044,1985,1893,1230,1441,1092,903,1356,357
"Pocillopora_acuta_HIv2___RNAseq.g1461.t1",3891.58921584657,1.42633296073433,0.30055986750374,4.74558686953302,2.07902662874982e-06,0.000623768250266358,4687,2476,3417,3438,3168,2999,2662,2489,6383,3466,4798
"Pocillopora_acuta_HIv2___RNAseq.g9897.t1",667.086370707398,0.915691406902294,0.287018474726713,3.19035702413991,0.00142097131532877,0.0459758193229389,1086,626,397,635,806,554,556,640,705,609,576
"Pocillopora_acuta_HIv2___RNAseq.g14107.t2",135.86505020682,2.04943770838344,0.523370705330627,3.91584337355825,9.00887229558286e-05,0.00828896330058473,144,86,86,62,72,55,85,93,170,113,279
"Pocillopora_acuta_HIv2___TS.g22635.t1",15.5640212108585,-3.9829661248282,0.979561220230632,-4.06607166818061,4.78122378948819e-05,0.00565605113657054,5,18,54,15,26,11,34,19,0,7,0
"Pocillopora_acuta_HIv2___RNAseq.g2267.t1",214.547958227002,-0.821156392782406,0.172546898911406,-4.75903303949859,1.94522595895803e-06,0.000596272542412994,160,286,255,205,347,219,322,254,163,221,67
"Pocillopora_acuta_HIv2___RNAseq.g29554.t1",1163.56555567701,-0.736132091818721,0.231544676975671,-3.17922269444384,0.00147670590929301,0.0471044156150754,770,1473,2002,1366,1662,1138,1573,894,896,1061,508
"Pocillopora_acuta_HIv2___RNAseq.g25829.t1",15.3223175003987,-6.64075314970893,1.98324607988675,-3.34842620744681,0.000812719206089448,0.03536920913883,0,8,71,64,19,8,3,0,0,9,0
"Pocillopora_acuta_HIv2___RNAseq.g24894.t1",1469.1709443379,1.93404421858234,0.374922934374364,5.1585113666351,2.48920999043566e-07,0.000113830422293315,1586,1010,595,1195,1136,1105,940,937,3390,720,2110
"Pocillopora_acuta_HIv2___RNAseq.g20370.t1",482.342949335298,0.735402928490156,0.202550886780367,3.63070702962451,0.000282645878369466,0.0182854217937646,632,459,476,450,454,393,465,405,590,480,411
"Pocillopora_acuta_HIv2___RNAseq.g20215.t1",263.295105535054,1.1883256204826,0.179660759286282,6.61427473201902,3.73377754296843e-11,5.15311084630217e-08,391,215,201,196,252,168,247,195,593,211,208
"Pocillopora_acuta_HIv2___RNAseq.g22399.t1",340.516985106222,2.09507300434324,0.488779008485725,4.2863399777211,1.81640936345383e-05,0.0027052738591526,407,186,319,274,143,334,105,203,647,172,534
"Pocillopora_acuta_HIv2___TS.g21127.t1c",2178.64497482785,1.16804575348324,0.31352879183234,3.72548162692457,0.000194942652225656,0.0139685365167382,2592,1700,1826,1624,1597,1590,2387,1309,3245,2127,2593
"Pocillopora_acuta_HIv2___RNAseq.g14236.t1",477.85468808497,1.04623104649009,0.291483055373536,3.58933744930504,0.000331519473582612,0.0203679844805355,644,393,314,329,455,543,365,570,540,504,441
"Pocillopora_acuta_HIv2___RNAseq.g27218.t1",1658.79138081568,-0.485181674936242,0.144615652967941,-3.35497344152503,0.000793726043882856,0.0348868716782652,1425,2339,1816,1716,2258,1865,1951,2093,1481,1702,549
"Pocillopora_acuta_HIv2___RNAseq.g8940.t1",37.8914770801637,-3.53773761508643,1.03019792043017,-3.43403684372534,0.000594663361177949,0.0290717250402786,0,85,21,8,131,14,71,83,10,35,4
"Pocillopora_acuta_HIv2___TS.g17618.t2",9360.49087996295,1.8292204866473,0.577944065237759,3.16504761735858,0.00155057572975057,0.0489099913705902,5824,6879,6471,7354,6356,6361,4868,5938,8676,5597,20159
"Pocillopora_acuta_HIv2___TS.g31673.t1",564.862524738745,1.17123814014388,0.234660679258579,4.99119896799266,6.00056459160792e-07,0.000238891708029745,869,436,362,365,482,515,566,601,1218,503,357
"Pocillopora_acuta_HIv2___RNAseq.g14380.t1",614.129506755985,1.09841740770123,0.325541968507157,3.37411920416363,0.000740522927056766,0.0334484999768907,974,578,289,324,665,626,555,483,1024,704,481
"Pocillopora_acuta_HIv2___TS.g25654.t1b",424.235990946782,-3.48908724870872,1.09471284385462,-3.18721687453963,0.00143649019042563,0.0463212148320739,45,53,1849,1426,248,721,163,32,61,357,19
"Pocillopora_acuta_HIv2___RNAseq.g10978.t1",10074.7654079294,0.930009755728476,0.272304739087997,3.41532710316854,0.000637054585336065,0.0302484037285028,12945,7481,8231,9674,10452,8527,10207,7330,11891,9846,10170
"Pocillopora_acuta_HIv2___RNAseq.g11006.t1",1703.1874612525,-1.00550508830662,0.262449237506398,-3.83123646256398,0.000127500894033506,0.0105580940331266,923,2561,2347,2623,1843,2751,1890,1772,1135,1561,420
"Pocillopora_acuta_HIv2___RNAseq.g15832.t1",603.869495177684,-1.02978647130362,0.293768919321663,-3.50543030107296,0.000455869844882546,0.024684992761373,377,868,582,1090,608,920,903,547,344,701,125
"Pocillopora_acuta_HIv2___RNAseq.g8577.t1",113.515391830669,2.23455514925976,0.673624894465229,3.31720987098274,0.000909212912685447,0.0372933363853927,225,119,37,33,27,182,48,101,287,34,108
"Pocillopora_acuta_HIv2___RNAseq.g20784.t1",99.3141076404575,1.11129753132063,0.313037242245402,3.55004894417463,0.000385159536066629,0.0221488130990315,154,89,56,49,102,97,100,85,212,87,68
"Pocillopora_acuta_HIv2___RNAseq.g27962.t1",66.1374137585997,1.23025401685514,0.321535501115755,3.82618408414017,0.000130144982505563,0.0107341092742238,111,56,38,71,63,51,44,46,97,87,53
"Pocillopora_acuta_HIv2___RNAseq.g1606.t2",65.939098831001,1.31876901760772,0.351850690532865,3.74809273675289,0.000178184376469374,0.0133168698977219,81,53,46,45,71,55,50,38,122,39,81
"Pocillopora_acuta_HIv2___RNAseq.g7985.t1",1737.12483048271,-0.994480578379113,0.239443732459033,-4.15329550774214,3.27721081043288e-05,0.0042669696979611,1310,2205,2173,1909,2534,1737,2729,2356,1353,1895,310
"Pocillopora_acuta_HIv2___RNAseq.29407_t",261.445431395436,0.926491534064157,0.265371308239527,3.49130258357809,0.00048067154372734,0.0255005988043862,394,230,148,185,279,314,221,254,410,323,155
"Pocillopora_acuta_HIv2___TS.g8286.t1",334.72283414553,1.97803501587547,0.535828634714463,3.69154406413823,0.00022289677009445,0.0153302622408482,673,369,89,110,180,449,147,274,604,196,377
"Pocillopora_acuta_HIv2___RNAseq.g8039.t1",685.550860676679,1.76153982273036,0.44582745328504,3.95116947094804,7.77702266261371e-05,0.00770334560581,1658,469,166,225,746,289,632,474,1458,461,693
"Pocillopora_acuta_HIv2___RNAseq.g15316.t1",525.857509322792,1.57550490897591,0.39089814632145,4.03047423939511,5.56644296390808e-05,0.00622900012101757,1071,554,177,560,206,587,426,388,884,510,375
"Pocillopora_acuta_HIv2___RNAseq.g10989.t1",451.328420747693,-5.66105150011261,1.52661190824953,-3.70824534350958,0.000208700399892695,0.0145963367519546,12,16,2353,1559,57,658,266,10,13,357,6
"Pocillopora_acuta_HIv2___RNAseq.g30016.t1",97.1761274545566,-0.807521135595454,0.247229492152918,-3.26628157734507,0.00108969836401031,0.04124119841269,73,123,125,124,111,99,166,94,71,118,28
"Pocillopora_acuta_HIv2___RNAseq.g11763.t1",7031.14758683873,1.10225329599565,0.332626318160498,3.31378858441321,0.0009204107191269,0.0372933363853927,8047,4641,3825,5777,6752,6434,7708,6009,9024,8386,7436
"Pocillopora_acuta_HIv2___RNAseq.g21489.t1",1380.94443364772,4.91383137516295,0.679129319379698,7.23548701983759,4.63861504870995e-13,1.92057217476787e-09,1369,328,58,167,205,355,116,139,4501,102,3893
"Pocillopora_acuta_HIv2___RNAseq.g14232.t1",1164.47135205067,-2.35121971240978,0.483755101427864,-4.86035125101494,1.17177660582487e-06,0.000397674086783386,225,1181,2987,2300,1846,1340,1114,1345,534,848,104
"Pocillopora_acuta_HIv2___RNAseq.g23449.t1",89.7317602274816,0.912253452940191,0.243915845151959,3.74003358564861,0.00018399566838771,0.0135526715115877,149,98,88,80,91,64,61,64,143,78,67
"Pocillopora_acuta_HIv2___TS.g24551.t1b",38.4208963713931,2.61551129159654,0.656248014719621,3.98555307281806,6.73231266934028e-05,0.00707599148077908,99,10,5,10,32,14,28,8,97,31,53
"Pocillopora_acuta_HIv2___RNAseq.g18198.t1",668.482863214247,-3.75587254977563,0.93955126844489,-3.99751740635954,6.40102853895837e-05,0.00690177566737064,79,167,3281,2093,333,565,608,203,101,449,24
"Pocillopora_acuta_HIv2___RNAseq.g11551.t1",60.7598723286772,-2.38394013695823,0.540008155727059,-4.41463728218795,1.01179491907737e-05,0.00188176434409805,13,186,78,43,45,77,108,82,21,61,10
"Pocillopora_acuta_HIv2___RNAseq.g5130.t1",1994.87185206791,0.44315126134813,0.135941546470417,3.25986626498006,0.00111464758135511,0.0415773589715558,2573,2451,1802,1609,2271,1836,2179,1613,2682,1868,1308
"Pocillopora_acuta_HIv2___TS.g30839.t1",613.988909603165,1.34749556890621,0.411488026738304,3.27468961755037,0.00105778123322298,0.0404099080562657,902,738,519,324,294,726,265,574,1365,595,433
"Pocillopora_acuta_HIv2___RNAseq.g28459.t1",312.358504654649,0.777709163365986,0.207145992988483,3.75440119379585,0.000173756368451415,0.0131281180280335,404,219,274,303,372,291,263,331,531,319,182
"Pocillopora_acuta_HIv2___RNAseq.g15237.t1",226.43920275017,-1.74454868922511,0.440718484665317,-3.95841960327561,7.54473280395488e-05,0.00754546176364608,89,528,348,281,217,349,186,378,87,158,40
"Pocillopora_acuta_HIv2___RNAseq.g8573.t1",627.085506729816,2.44164764738672,0.520484970112552,4.69110116063242,2.71738565148515e-06,0.000746898842877409,967,489,291,268,230,625,215,418,959,205,1182
"Pocillopora_acuta_HIv2___RNAseq.g9799.t1",299.944011184101,-1.64470921571357,0.413394892290305,-3.97854266317006,6.9338970508017e-05,0.00717727683728484,136,263,392,718,505,411,393,321,126,240,36
"Pocillopora_acuta_HIv2___RNAseq.g26273.t1",1423.98909661097,1.22749700422105,0.303487359569999,4.04463963823816,5.24036669233915e-05,0.00599370559474061,2519,1123,686,1606,1420,1554,1269,1007,2077,947,1175
"Pocillopora_acuta_HIv2___TS.g25997.t2",648.662931633982,-5.48436890190434,1.49423404131627,-3.67035467688391,0.000242214146134053,0.0161950252287881,24,26,3570,2050,56,789,523,22,16,559,12
"Pocillopora_acuta_HIv2___RNAseq.g13322.t1",218.389150365954,-0.816179660951727,0.241106732643245,-3.38513840739318,0.000711423725984759,0.0325780110610216,167,285,237,169,324,233,392,224,172,284,65
"Pocillopora_acuta_HIv2___RNAseq.g10379.t1",46.8034814948,1.71788725720169,0.440130259448615,3.90313372080762,9.4955205852459e-05,0.00852821369202074,65,27,40,20,29,22,47,13,97,25,75
"Pocillopora_acuta_HIv2___TS.g9772.t1",121.741473110375,-1.49173954660691,0.464449426817137,-3.21184495119259,0.00131885532818876,0.0443229594223436,55,171,235,218,97,172,174,62,53,159,27
"Pocillopora_acuta_HIv2___RNAseq.g21793.t1b",87.7297575095388,1.97124471047773,0.601973277627761,3.27463823352086,0.00105797363377915,0.0404099080562657,118,52,29,43,77,64,62,26,90,87,170
"Pocillopora_acuta_HIv2___RNAseq.g6352.t1",78.9491022507949,-3.25624590451183,0.863456812417406,-3.77117402710088,0.000162481306547343,0.0126454436396357,14,39,309,189,46,108,79,29,16,105,2
"Pocillopora_acuta_HIv2___RNAseq.g2083.t1",613.82186517715,2.61376022740628,0.654182213847717,3.99546207780989,6.45681924692716e-05,0.00692585865543451,1519,586,66,107,267,503,201,537,1501,246,749
"Pocillopora_acuta_HIv2___RNAseq.g9749.t1",409.764791896687,-0.559243136640207,0.155841805039954,-3.58853092401509,0.000332546553686648,0.0203679844805355,329,482,530,455,517,373,555,494,332,522,143
"Pocillopora_acuta_HIv2___TS.g13413.t1",334.81707336577,-2.32947551562641,0.700603466370003,-3.32495573808104,0.000884325729842772,0.0369874234654402,86,942,150,287,223,1109,284,578,79,197,24
"Pocillopora_acuta_HIv2___TS.g28807.t1",29.3448694959959,-7.83742962385841,1.97184640485914,-3.97466537177792,7.0478277600991e-05,0.00724561045975487,0,187,0,7,47,81,7,19,0,12,0
"Pocillopora_acuta_HIv2___RNAseq.g17613.t1",630.239407253289,3.33173397730755,0.952007839622746,3.49969174479469,0.000465796466365566,0.0249816540069947,734,583,49,54,79,568,85,263,655,184,1799
"Pocillopora_acuta_HIv2___RNAseq.g17611.t1",5305.50566980125,1.80681214374891,0.559201641923328,3.23105657832929,0.001233335240084,0.0431298362999168,9983,7500,1617,1980,2018,6949,2173,4621,9546,3612,5570
"Pocillopora_acuta_HIv2___RNAseq.g322.t1",24.936067488174,1.97063119822113,0.612790203956401,3.215833388814,0.00130066320724979,0.0441415241253854,47,30,11,8,9,8,14,17,40,22,39
"Pocillopora_acuta_HIv2___RNAseq.g7399.t1",348.544461688071,-5.65000958358799,1.36412809708047,-4.14184679259977,3.44520457843726e-05,0.0044576640739255,7,4,1973,1054,78,453,272,12,11,241,7
"Pocillopora_acuta_HIv2___RNAseq.g9795.t1",695.347204578854,-5.05081975942629,1.53388939544835,-3.29281874847955,0.000991883950052915,0.0391206628586714,15,29,3192,2593,43,961,425,18,18,834,21
"Pocillopora_acuta_HIv2___RNAseq.g6746.t1",476.810396569511,2.45196738178316,0.648103054271977,3.78329860601796,0.000154763557069837,0.0121360422668931,865,436,138,135,81,726,225,359,1437,165,468
"Pocillopora_acuta_HIv2___RNAseq.g18316.t1",149.897858191668,-3.10325508118507,0.917044202348238,-3.38397546512883,0.000714443871205865,0.0325780110610216,28,54,665,403,90,205,84,51,35,149,5
"Pocillopora_acuta_HIv2___RNAseq.g24438.t1",3581.22060438275,1.31400655755028,0.392728382080307,3.34584057966451,0.000820335456113568,0.0355284196913454,4161,2666,3907,3364,1745,4470,2307,2777,4958,2503,4129
"Pocillopora_acuta_HIv2___RNAseq.g18760.t2",7410.15770600163,-0.776322947964094,0.216622443599026,-3.58376045928597,0.000338682709391711,0.0206826237458029,5449,9149,11481,10058,9718,7106,8502,9102,6409,7811,1782
